Wally Walker,201
Lloyd Walton,183
Henry Ward,193
Richard Washington,211
Marvin Webster,216
Bob Wilkerson,198
Chuck Williams,183
Chuckie Williams,183
John Williamson,188
Willie Wise,196
Larry Wright,185
Tate Armstrong,190
Greg Ballard,201
Kent Benson,208
Otis Birdsong,190
Phil Bond,188
Jim Bostic,201
Alonzo Bradley,198
Mike Bratz,188
Wayman Britt,188
Kenny Carr,201
Bob Carrington,198
Wesley Cox,198
Charlie Criss,173
Mark Crow,201
Brad Davis,190
Walter Davis,203
Jacky Dorsey,201
T.R. Dunn,201
James Edwards,213
Bo Ellis,196
Al Fleming,201
Bayard Forrest,208
Mike Glenn,188
Glen Gondrezick,198
Rickey Green,183
Greg Griffin,201
Ernie Grunfeld,198
Joe Hassett,196
Eddie Johnson,203
Larry Johnson,190
Marques Johnson,201
Eddie Jordan,185
Bernard King*,201
Toby Knight,206
John Kuester,188
Tom LaGarde,208
Mark Landsberger,203
Rich Laurel,198
Ricky Marsh,190
Cedric Maxwell,203
Larry Moffett,203
Glenn Mosley,203
Norm Nixon,188
Eddie Owens,201
Ben Poquette,206
Robert Reid,203
Anthony Roberts,196
Tony Robertson,193
Tree Rollins,216
Alvin Scott,201
Steve Sheppard,198
Jack Sikma,211
Scott Sims,185
Robert Smith,180
Phil Walker,190
Wilson Washington,206
Ray Williams,190
Kim Anderson,201
Del Beshore,180
Dennis Boyd,185
Winford Boynes,198
Ron Brewer,193
Greg Bunch,198
Marty Byrnes,201
Ron Carter,196
Maurice Cheeks,185
Michael Cooper,196
Wayne Cooper,208
Dave Corzine,211
Geoff Crompton,211
Harry Davis,201
Bob Elliott,206
Ray Epps,198
Phil Ford,188
Jack Givens,196
Tommie Green,188
Lars Hansen,208
James Hardy,203
Keith Herron,198
Kenny Higgs,183
Essie Hollis,198
Otis Howard,201
Clemon Johnson,208
Jeff Judkins,198
Joel Kramer,201
Butch Lee,183
John Long,196
Billy McKinney,183
Mike Mitchell,201
John Olive,201
Roger Phegley,198
Stan Pietkiewicz,196
Wayne Radford,190
Marlon Redmond,198
Micheal Ray,198
Rick Robey,211
Jackie Robinson,198
John Rudd,201
Frankie Sanders,198
Purvis Short,201
Sam Smith,201
Reggie Theus,201
Mychal Thompson,208
Raymond Townsend,190
Terry Tyler,201
Andre Wakefield,190
Jerome Whitehead,208
Freeman Williams,193
Rick Wilson,196
James Bailey,206
Billy Ray,206
Larry Bird*,206
Lawrence Boston,203
Dudley Bradley,198
Bill Cartwright,216
Jeff Cook,208
Hollis Copeland,198
John Coughran,201
Terry Crosby,193
Pat Cummings,206
Paul Dawkins,196
Greg Deane,193
Larry Demic,206
Terry Duerod,188
Earl Evans,203
Mike Evans,185
Gary Garland,193
Dave Greenwood,206
Roy Hamilton,188
Gerald Henderson,188
Johnny High,190
Brad Holland,190
Phil Hubbard,203
Geoff Huston,188
Abdul Jeelani,203
Cheese Johnson,183
Magic Johnson*,201
Vinnie Johnson,188
Major Jones,206
Greg Kelser,201
Irv Kiffin,206
Carl Kilpatrick,208
Reggie King,198
Arvid Kramer,206
Allen Leavell,185
Ollie Mack,190
Steve Malovic,208
Paul Mokeski,213
Sidney Moncrief,190
Calvin Natt,198
Sylvester Norris,211
Wiley Peck,201
Sam Pellom,206
Clint Richardson,190
Cliff Robinson,206
Jim Spanarkel,196
Bernard Toone,206
Duck Williams,188
Sly Williams,201
Bubba Wilson,190
Tony Zeno,203
Darrell Allums,206
